sl_no,hsc_p,hsc_s,degree_p,degree_t,etest_p,specialisation,mba_p,salary,gender_F,gender_M
150,58.0,Arts,55.0,Comm&Mgmt,64.25,Mkt&HR,58.54,,False,True
151,58.66,Science,58.0,Sci&Tech,56.0,Mkt&Fin,61.3,690000.0,False,True
152,65.0,Commerce,75.0,Comm&Mgmt,83.0,Mkt&Fin,58.87,270000.0,False,True
153,60.5,Science,84.0,Sci&Tech,98.0,Mkt&Fin,65.25,240000.0,True,False
154,59.0,Science,65.0,Sci&Tech,86.0,Mkt&Fin,62.48,340000.0,False,True
155,63.0,Science,60.0,Comm&Mgmt,70.0,Mkt&Fin,53.2,250000.0,False,True
156,74.66,Commerce,59.9,Comm&Mgmt,56.15,Mkt&HR,65.99,,False,True
157,69.4,Science,65.0,Sci&Tech,80.0,Mkt&HR,52.72,255000.0,False,True
158,62.5,Commerce,60.9,Comm&Mgmt,93.4,Mkt&Fin,55.03,300000.0,False,True
159,63.0,Science,64.0,Sci&Tech,60.0,Mkt&Fin,61.87,,False,True
160,49.0,Commerce,58.0,Comm&Mgmt,62.0,Mkt&HR,60.59,,False,True
161,74.0,Science,65.0,Sci&Tech,75.0,Mkt&HR,72.29,300000.0,False,True
162,51.0,Commerce,57.5,Comm&Mgmt,57.63,Mkt&HR,62.72,,False,True
163,87.6,Commerce,77.25,Comm&Mgmt,75.2,Mkt&Fin,66.06,285000.0,False,True
164,67.0,Science,64.0,Sci&Tech,75.0,Mkt&Fin,66.46,500000.0,False,True
165,72.5,Commerce,63.35,Comm&Mgmt,53.04,Mkt&Fin,65.52,250000.0,True,False
166,78.33,Commerce,74.0,Comm&Mgmt,80.0,Mkt&Fin,74.56,,True,False
167,62.0,Commerce,60.0,Comm&Mgmt,63.0,Mkt&HR,52.38,240000.0,False,True
168,62.0,Science,67.0,Sci&Tech,58.1,Mkt&Fin,75.71,,False,True
169,51.0,Commerce,58.0,Comm&Mgmt,60.0,Mkt&HR,58.79,,True,False
170,42.16,Science,61.26,Sci&Tech,54.48,Mkt&HR,65.48,,False,True
171,67.2,Commerce,60.0,Comm&Mgmt,58.06,Mkt&HR,69.28,,True,False
172,80.0,Commerce,72.0,Comm&Mgmt,63.79,Mkt&Fin,66.04,290000.0,False,True
173,58.0,Commerce,56.0,Comm&Mgmt,84.0,Mkt&HR,52.64,300000.0,False,True
174,52.0,Science,55.0,Sci&Tech,67.0,Mkt&HR,59.32,,True,False
